Avl, B, Rubro
1660083, 7270310, 4015547
1664951, 7291174, 4027234
1669804, 7312214, 4039021
1674599, 7333488, 4050699
1679361, 7354454, 4062387
1684163, 7375630, 4074309
1688941, 7396810, 4086280
1693752, 7417718, 4098108
1698519, 7438784, 4109866
1703345, 7459910, 4121739
1708289, 7481038, 4133585
1713124, 7502063, 4145498
1718096, 7523347, 4157191
1723064, 7544864, 4168907
1727931, 7566133, 4180746
1732878, 7587479, 4192511
1737730, 7608887, 4204418
1742638, 7630322, 4216290
1747531, 7651543, 4228082
1752413, 7673099, 4240054
1757312, 7694588, 4252252
1762160, 7716282, 4264251
1767054, 7737815, 4276256
1771989, 7759297, 4288151
1776899, 7780860, 4300286
1781708, 7802743, 4312485
1786640, 7824572, 4324655
1791579, 7846395, 4336886
1796611, 7868218, 4348853
1801566, 7889979, 4361028
1806572, 7911873, 4373128
1811562, 7933721, 4385224
1816561, 7955768, 4397205
1821596, 7977681, 4409441
1826634, 7999591, 4421470
1831616, 8021476, 4433719
1836681, 8043780, 4446039
1841702, 8065848, 4458365
1846779, 8087971, 4470690
1851811, 8110017, 4483002
1856835, 8132075, 4495349
1861855, 8154185, 4507712
1866901, 8176433, 4519961
1872052, 8198601, 4532393
1877162, 8220902, 4544985
1882277, 8243235, 4557320
1887310, 8265681, 4569931
1892407, 8287982, 4582416
1897444, 8310441, 4595166
1902565, 8333008, 4607727
1907778, 8355367, 4620080
1912948, 8377893, 4632665
1918184, 8400665, 4644990
1923328, 8423291, 4657775
1928463, 8445739, 4670262
1933605, 8468580, 4682981
1938813, 8491268, 4695652
1944011, 8513846, 4708022
1949269, 8536619, 4720772
1954437, 8559359, 4733451
1959556, 8582208, 4746269
1964835, 8604858, 4758971
1970047, 8627656, 4771783
1975286, 8650471, 4784597
1980528, 8673264, 4797284
1985773, 8696327, 4810087
1990989, 8719245, 4822831
1996330, 8742414, 4835688
2001581, 8765573, 4848559
2006792, 8788770, 4861433
2012036, 8811545, 4874744
2017334, 8835019, 4887419
2022553, 8858135, 4900278
2027842, 8881441, 4913282
2033060, 8904660, 4926257
2038326, 8928150, 4939347
2043766, 8951374, 4952173
2049049, 8974672, 4965121
2054398, 8998046, 4978067
2059849, 9021487, 4990794
2065189, 9045080, 5003845
2070500, 9068536, 5016961
2075770, 9091921, 5030153
2081172, 9115563, 5043221
2086655, 9139255, 5056175
2092079, 9162972, 5069478
2097534, 9186670, 5082511
2102926, 9210218, 5095662
2108313, 9233923, 5108877
2113674, 9257642, 5122301
2119134, 9281409, 5135864
2124516, 9305306, 5149185
2129962, 9329190, 5162390
2135334, 9352942, 5175579
2140726, 9376805, 5188930
2146257, 9400837, 5202230
2151704, 9424860, 5215685
2157214, 9449080, 5229132
2162674, 9473021, 5242683
2168173, 9497282, 5255977
2173708, 9521471, 5269198
2179076, 9545737, 5282728
2184430, 9569591, 5296220
2189963, 9593891, 5309782
2195542, 9618391, 5323171
2200986, 9642643, 5336714
2206504, 9667153, 5350173
2212098, 9691549, 5363688
2217583, 9715953, 5377179
2223169, 9740433, 5390786
2228706, 9764828, 5404382
2234266, 9789461, 5418159
2239879, 9814021, 5431838
2245528, 9838516, 5445589
2251153, 9862786, 5459339
2256752, 9887204, 5472886
2262424, 9911910, 5486627
2268081, 9936550, 5500261
2273662, 9961504, 5513976
2279299, 9986207, 5527879
2284976, 10011195, 5541629
2290616, 10036112, 5555235
2296267, 10060979, 5569168
2301940, 10085874, 5583085
2307610, 10110512, 5597009
2313236, 10135504, 5611005
2318887, 10160422, 5625116
2324531, 10185422, 5638757
2330152, 10210562, 5652706
2335817, 10235662, 5666575
2341563, 10260626, 5680638
2347282, 10285877, 5694803
2352928, 10311127, 5708903
2358742, 10336346, 5722908
2364469, 10361552, 5736777
2370300, 10386940, 5750922
2376064, 10412215, 5764874
2381770, 10437551, 5779186
2387422, 10463008, 5793241
2393296, 10488352, 5807225
2399103, 10513632, 5821606
2404914, 10538980, 5835832
2410625, 10564601, 5850119
2416432, 10590068, 5864101
2422167, 10615770, 5878576
2427991, 10641339, 5892869
2433889, 10666880, 5907165
2439735, 10692614, 5921744
2445595, 10718170, 5935940
2451459, 10743868, 5950621
2457287, 10769556, 5964849
2463242, 10795278, 5979282
2469079, 10820948, 5993461
2474956, 10846786, 6007844
2480817, 10872611, 6022222
2486657, 10898678, 6036582
2492666, 10924552, 6050978
2498498, 10950377, 6065776
2504332, 10976247, 6080176
2510305, 11002027, 6094631
2516369, 11028046, 6108990
2522259, 11054071, 6123407
2528165, 11080203, 6137982
2534206, 11106309, 6152453
2540128, 11132622, 6166928
2546144, 11158820, 6181611
2552232, 11185101, 6196085
2558191, 11211546, 6210787
2564101, 11237919, 6225442
2569947, 11264347, 6240250
2576055, 11290926, 6254988
2582034, 11317353, 6269542
2588061, 11343665, 6284305
2594098, 11370089, 6299127
2600092, 11396595, 6314031
2606124, 11423025, 6328744
2612137, 11449463, 6343394
2618310, 11476008, 6358021
2624355, 11502539, 6372813
2630385, 11529377, 6387953
2636552, 11555777, 6402633
2642679, 11582609, 6417721
2648702, 11609377, 6432589
2654805, 11636214, 6447322
2660962, 11663123, 6462322
2667113, 11690073, 6477172
2673173, 11717005, 6491995
2679237, 11744093, 6507014
2685358, 11770639, 6521975
2691488, 11797532, 6537137
2697642, 11824410, 6552095
2703791, 11851397, 6567321
2709930, 11878801, 6582371
2716113, 11905914, 6597341
2722305, 11932978, 6612559
2728401, 11960444, 6627657
2734578, 11987466, 6642625
2740853, 12014553, 6657780
2747057, 12041581, 6672824
2753332, 12068753, 6687939
2759499, 12096025, 6703383
2765888, 12123422, 6718690
2771989, 12150955, 6734077
2778227, 12178609, 6749531
2784424, 12206002, 6764784
2790668, 12233616, 6780133
2797007, 12261043, 6795375
2803310, 12288625, 6810827
2809642, 12316017, 6826166
2816129, 12343637, 6841487
2822431, 12371325, 6857138
2828847, 12399231, 6872599
2835322, 12426979, 6888108
2841622, 12454690, 6903487
2847861, 12482474, 6919167
2854163, 12510179, 6934566
2860605, 12537916, 6950057
2866984, 12565686, 6965703
2873292, 12593563, 6981302
2879629, 12621436, 6997262
2885921, 12649419, 7012883
2892243, 12677400, 7028283
2898553, 12705177, 7044098
2904958, 12733164, 7059534
2911291, 12761193, 7075229
2917728, 12789361, 7090607
2924108, 12817346, 7106337
2930429, 12845531, 7122244
2936901, 12873779, 7138127
2943308, 12902044, 7154001
2949857, 12930174, 7169971
2956428, 12958393, 7185848
2962815, 12986714, 7201769
2969325, 13015351, 7217691
2975803, 13043908, 7233705
2982346, 13072407, 7249848
2988927, 13100775, 7265801
2995397, 13129226, 7281890
3001823, 13157748, 7297883
3008325, 13186379, 7313959
3014843, 13214882, 7330124
3021251, 13243323, 7346107
3027774, 13271882, 7362109
3034378, 13300373, 7377994
3040984, 13328914, 7394095
3047581, 13357763, 7410096
3054139, 13386375, 7426048
3060699, 13415387, 7442068
