Avl, B, Rubro
3272, 27184, 26334 
3277, 27218, 26372 
3280, 27266, 26409 
3284, 27295, 26452 
3287, 27325, 26489 
3296, 27356, 26527 
3299, 27390, 26564 
3303, 27439, 26603 
3306, 27468, 26640 
3311, 27498, 26678 
3314, 27529, 26715 
3318, 27563, 26755 
3321, 27613, 26792 
3327, 27643, 26830 
3330, 27674, 26867 
3334, 27706, 26906 
3337, 27741, 26943 
3342, 27794, 26981 
3345, 27824, 27018 
3349, 27855, 27059 
3352, 27887, 27096 
3359, 27922, 27134 
3362, 27993, 27171 
3366, 28022, 27210 
3369, 28052, 27247 
3374, 28083, 27285 
3377, 28117, 27322 
3381, 28165, 27362 
3384, 28194, 27399 
3390, 28224, 27437 
3393, 28255, 27474 
3397, 28289, 27513 
3400, 28338, 27550 
3405, 28367, 27588 
3408, 28397, 27625 
3412, 28428, 27667 
3415, 28462, 27704 
3423, 28512, 27742 
3426, 28542, 27779 
3430, 28573, 27818 
3433, 28605, 27855 
3438, 28640, 27893 
3441, 28693, 27930 
3445, 28723, 27970 
3448, 28754, 28007 
3454, 28786, 28045 
3457, 28821, 28082 
3461, 28907, 28121 
3464, 28935, 28158 
3469, 28964, 28196 
3472, 28994, 28233 
3476, 29027, 28274 
3479, 29074, 28311 
3486, 29102, 28349 
3489, 29131, 28386 
3493, 29161, 28425 
3496, 29194, 28462 
3501, 29242, 28500 
3504, 29270, 28537 
3508, 29299, 28577 
3511, 29329, 28614 
3517, 29362, 28652 
3520, 29411, 28689 
3524, 29440, 28728 
3527, 29470, 28765 
3532, 29501, 28803 
3535, 29535, 28840 
3539, 29587, 28884 
3542, 29616, 28921 
3552, 29646, 28959 
3555, 29677, 28996 
3559, 29711, 29035 
3562, 29777, 29072 
3567, 29805, 29110 
3570, 29834, 29147 
3574, 29864, 29187 
3577, 29897, 29224 
3583, 29944, 29262 
3586, 29972, 29299 
3590, 30001, 29338 
3593, 30031, 29375 
3598, 30064, 29413 
3601, 30112, 29450 
3605, 30140, 29491 
3608, 30169, 29528 
3615, 30199, 29566 
3618, 30232, 29603 
3622, 30281, 29642 
3625, 30310, 29679 
3630, 30340, 29717 
3633, 30371, 29754 
3637, 30405, 29794 
3640, 30457, 29831 
3646, 30486, 29869 
3649, 30516, 29906 
3653, 30547, 29945 
3656, 30581, 29982 
3661, 30648, 30020 
3664, 30676, 30057 
3668, 30705, 30099 
3671, 30735, 30136 
3679, 30768, 30174 
3682, 30815, 30211 
3686, 30843, 30250 
3689, 30872, 30287 
3694, 30902, 30325 
3697, 30935, 30362 
3701, 30983, 30402 
3704, 31011, 30439 
3710, 31040, 30477 
3713, 31070, 30514 
3717, 31103, 30553 
3720, 31152, 30590 
3725, 31181, 30628 
3728, 31211, 30665 
3732, 31242, 30706 
3735, 31276, 30743 
3742, 31328, 30781 
3745, 31357, 30818 
3749, 31387, 30857 
3752, 31418, 30894 
3757, 31452, 30932 
3760, 31520, 30969 
3764, 31549, 31009 
3767, 31579, 31046 
3773, 31610, 31084 
3776, 31644, 31121 
3780, 31692, 31160 
3783, 31721, 31197 
3788, 31751, 31235 
3791, 31782, 31272 
3795, 31816, 31315 
3798, 31865, 31352 
3807, 31894, 31390 
3810, 31924, 31427 
3814, 31955, 31466 
3817, 31989, 31503 
3822, 32039, 31541 
3825, 32069, 31578 
3829, 32100, 31618 
3832, 32132, 31655 
3838, 32167, 31693 
3841, 32220, 31730 
3845, 32250, 31769 
3848, 32281, 31806 
3853, 32313, 31844 
3856, 32348, 31881 
3860, 32419, 31922 
3863, 32448, 31959 
3870, 32478, 31997 
3873, 32509, 32034 
3877, 32543, 32073 
3880, 32591, 32110 
3885, 32620, 32148 
3888, 32650, 32185 
3892, 32681, 32225 
3895, 32715, 32262 
3901, 32764, 32300 
3904, 32793, 32337 
3908, 32823, 32376 
3911, 32854, 32413 
3916, 32888, 32451 
3919, 32938, 32488 
3923, 32968, 32530 
3926, 32999, 32567 
3934, 33031, 32605 
3937, 33066, 32642 
3941, 33119, 32681 
3944, 33149, 32718 
3949, 33180, 32756 
3952, 33212, 32793 
3956, 33247, 32833 
3959, 33334, 32870 
3965, 33363, 32908 
